class,contract,obfuscation_induces_defect,orig_loc,obfuscated_loc,original_path,obfuscated_path
D1,D1_01_RewardVault,yes,21,21,contracts/D1/original/D1_01_RewardVault.sol,contracts/D1/obfuscated/D1_01_RewardVault.sol
D1,D1_02_EscrowRelease,yes,19,19,contracts/D1/original/D1_02_EscrowRelease.sol,contracts/D1/obfuscated/D1_02_EscrowRelease.sol
D1,D1_03_BatchPayer,yes,22,22,contracts/D1/original/D1_03_BatchPayer.sol,contracts/D1/obfuscated/D1_03_BatchPayer.sol
D1,D1_04_FeeCollector,yes,26,26,contracts/D1/original/D1_04_FeeCollector.sol,contracts/D1/obfuscated/D1_04_FeeCollector.sol
D1,D1_05_RefundPool,yes,20,20,contracts/D1/original/D1_05_RefundPool.sol,contracts/D1/obfuscated/D1_05_RefundPool.sol
D1,D1_06_StakingRewards,yes,20,20,contracts/D1/original/D1_06_StakingRewards.sol,contracts/D1/obfuscated/D1_06_StakingRewards.sol
D1,D1_07_AirdropClaim,yes,22,22,contracts/D1/original/D1_07_AirdropClaim.sol,contracts/D1/obfuscated/D1_07_AirdropClaim.sol
D1,D1_08_AuctionSettle,yes,20,20,contracts/D1/original/D1_08_AuctionSettle.sol,contracts/D1/obfuscated/D1_08_AuctionSettle.sol
D1,D1_09_VestingWithdraw,yes,20,20,contracts/D1/original/D1_09_VestingWithdraw.sol,contracts/D1/obfuscated/D1_09_VestingWithdraw.sol
D1,D1_10_InsuranceClaim,yes,22,22,contracts/D1/original/D1_10_InsuranceClaim.sol,contracts/D1/obfuscated/D1_10_InsuranceClaim.sol
D1,D1_11_RoyaltySplitter,yes,21,21,contracts/D1/original/D1_11_RoyaltySplitter.sol,contracts/D1/obfuscated/D1_11_RoyaltySplitter.sol
D1,D1_12_LoyaltyRedeem,yes,21,21,contracts/D1/original/D1_12_LoyaltyRedeem.sol,contracts/D1/obfuscated/D1_12_LoyaltyRedeem.sol
D1,D1_13_DividendPayout,yes,21,21,contracts/D1/original/D1_13_DividendPayout.sol,contracts/D1/obfuscated/D1_13_DividendPayout.sol
D2,D2_01_FeeSplitter,yes,26,25,contracts/D2/original/D2_01_FeeSplitter.sol,contracts/D2/obfuscated/D2_01_FeeSplitter.sol
D2,D2_02_DualTreasury,yes,26,25,contracts/D2/original/D2_02_DualTreasury.sol,contracts/D2/obfuscated/D2_02_DualTreasury.sol
D2,D2_03_GrantOffice,yes,26,25,contracts/D2/original/D2_03_GrantOffice.sol,contracts/D2/obfuscated/D2_03_GrantOffice.sol
D2,D2_04_MarketplacePayout,yes,26,25,contracts/D2/original/D2_04_MarketplacePayout.sol,contracts/D2/obfuscated/D2_04_MarketplacePayout.sol
D2,D2_05_BondRedeemer,yes,26,25,contracts/D2/original/D2_05_BondRedeemer.sol,contracts/D2/obfuscated/D2_05_BondRedeemer.sol
D2,D2_06_PayrollDesk,yes,26,25,contracts/D2/original/D2_06_PayrollDesk.sol,contracts/D2/obfuscated/D2_06_PayrollDesk.sol
D2,D2_07_LiquidityDesk,yes,26,25,contracts/D2/original/D2_07_LiquidityDesk.sol,contracts/D2/obfuscated/D2_07_LiquidityDesk.sol
D2,D2_08_ArbitrationFund,yes,26,25,contracts/D2/original/D2_08_ArbitrationFund.sol,contracts/D2/obfuscated/D2_08_ArbitrationFund.sol
D2,D2_09_SubscriptionVault,yes,26,25,contracts/D2/original/D2_09_SubscriptionVault.sol,contracts/D2/obfuscated/D2_09_SubscriptionVault.sol
D2,D2_10_TournamentBank,yes,26,25,contracts/D2/original/D2_10_TournamentBank.sol,contracts/D2/obfuscated/D2_10_TournamentBank.sol
D3,D3_01_LogicVault,no,27,30,contracts/D3/original/D3_01_LogicVault.sol,contracts/D3/obfuscated/D3_01_LogicVault.sol
D3,D3_02_LogicRegistry,no,23,26,contracts/D3/original/D3_02_LogicRegistry.sol,contracts/D3/obfuscated/D3_02_LogicRegistry.sol
